Date,Sighting,Date_S,CRC ID,Group Beh,Region
20190709,6,20190709_6,2243,Feeding,East Strait
20190712,8,20190712_8,532,Feeding,Ocean
20190712,10,20190712_10,1118,Feeding,Ocean
20190712,19,20190712_19,372,Travel,Ocean
20190712,27,20190712_27,1652,,Ocean
20190712,29,20190712_29,1509,,Ocean
20190712,30,20190712_30,1509,Travel,Ocean
20190722,3,20190722_3,2243,Feeding,East Strait
20190725,9,20190725_9,532,Feeding,Ocean
20190725,12,20190725_12,2354,Feeding,Ocean
20190725,13,20190725_13,1118,Feeding,Ocean
20190725,32,20190725_32,2185,,Ocean
20190725,40,20190725_40,532,Travel,West Strait
20190730,Unk1,20190730_Unk1,2243,,West Strait
20190807,4,20190807_4,819,Travel,West Strait
20190807,15,20190807_15,2354,Feeding,Ocean
20190807,18,20190807_18,87,Feeding,Ocean
20190807,20,20190807_20,1118,Feeding,Ocean
20190807,29,20190807_29,532,Feeding,Ocean
20190807,33,20190807_33,319,Feeding,Ocean
20190807,41,20190807_41,1830,Feeding,Ocean
20190819,15,20190819_15,87,,Ocean
20190819,18,20190819_18,532,Feeding,Ocean
20190819,18,20190819_18,1118,Feeding,Ocean
20190819,18,20190819_18,178,Feeding,Ocean
20190819,21,20190819_21,84,Feeding,Ocean
20190819,32,20190819_32,1830,Feeding,Ocean
20190820,1,20190820_1,2243,Feeding,East Strait
20190830,1,20190830_1,2243,Feeding,East Strait
20190903,15,20190903_15,2390,Feeding,Ocean
20190903,23,20190903_23,826,Feeding,Ocean
20190903,23,20190903_23,1509,Feeding,Ocean
20190910,9,20190910_9,2354,Feeding,West Strait
20190911,13,20190911_13,2354,,Ocean
20190911,14,20190911_14,1512,Feeding,Ocean
20190911,16,20190911_16,1118,Feeding,Ocean
20190911,19,20190911_19,2389,Feeding,Ocean
20190911,20,20190911_20,1125,,Ocean
20190911,23,20190911_23,1509,Feeding,Ocean
20190911,23,20190911_23,688,Feeding,Ocean
20190911,26,20190911_26,84,Feeding,Ocean
20190911,33,20190911_33,2390,,Ocean
20190911,34,20190911_34,2390,,Ocean
20190911,35,20190911_35,84,,Ocean
20190911,35,20190911_35,2398,,Ocean
20190911,38,20190911_38,178,,Ocean
20190911,38,20190911_38,254,,Ocean
20190911,40,20190911_40,1830,,Ocean
20190919,4,20190919_4,2391,Feeding,East Strait
20190919,13,20190919_13,2243,Feeding,East Strait
20190920,10,20190920_10,2392,Feeding,Ocean
20190920,10,20190920_10,1512,Feeding,Ocean
20190920,10,20190920_10,824,Feeding,Ocean
20190920,12,20190920_12,2392,,Ocean
20190920,12,20190920_12,1512,,Ocean
20190920,12,20190920_12,824,,Ocean
20190920,13,20190920_13,2392,Feeding,Ocean
20190920,13,20190920_13,2354,Feeding,Ocean
20190920,14,20190920_14,2392,Feeding,Ocean
20190920,14,20190920_14,2354,Feeding,Ocean
20190920,14,20190920_14,2398,Feeding,Ocean
20190920,16,20190920_16,1118,Feeding,Ocean
20190920,17,20190920_17,2389,,Ocean
20190920,18,20190920_18,1509,Travel,Ocean
20190920,18,20190920_18,826,Travel,Ocean
20190920,19,20190920_19,826,,Ocean
20190920,19,20190920_19,185,,Ocean
20190920,23,20190920_23,1723,,Ocean
20190920,26,20190920_26,372,Travel,Ocean
20190920,33,20190920_33,178,Travel,Ocean
20190920,37,20190920_37,2390,,Ocean
20190920,39,20190920_39,1830,,Ocean
20190930,2,20190930_2,682,Feeding,East Strait
20190930,3,20190930_3,317,Feeding,East Strait
20190930,5,20190930_5,2243,,East Strait
20190930,6,20190930_6,682,Travel,East Strait
