number,order,Sample ID,Assigned ID,Date,Year,Month,Monthies,Year.Month,Location,Region,Count,Identifier,mysid?,"If not, what?",Category,length,species ,gender,gravid?,comments,removed for reference,sample comments
537,37,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,1,LA,NO,SMALL CLINGFISH,fish,NA,,,,,,
538,38,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,2,LA,NO,SMALL CLINGFISH,fish,NA,,,,,,
539,39,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,3,LA,NO,PANDALUS SHRIMP,shrimp,NA,,,,,,
540,40,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,4,LA,NO,PANDALUS SHRIMP,shrimp,NA,,,,,,
541,41,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,5,LA,NO,PANDALUS SHRIMP,shrimp,NA,,,,,,
542,42,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,6,LA,NO,FISH,fish,NA,,,,SMALL DIRED DEFORMED,,
543,43,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,7,LA,NO,GRAPSIDAE LARVAE,crab,NA,,,,,,
544,44,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,8,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
545,45,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,9,LA,NO,SMALL CLINGFISH,fish,NA,,,,,,
546,46,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,10,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
547,47,20190603-1,20190603-1,20190603,2019,6,Jun,2019_6,FIRST BEACH,Strait,11,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
721,48,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,1,LA,NO,TINY SNAILFISH,fish,NA,,,,,,
722,49,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,2,LA,NO,SCULPIN,fish,NA,,,,,,
