OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
1,306,MAKAH,16-Jul-20,2020,7,RHIB,8,SBE,12/30/1899 2:25:00 PM,,N 48 19.93,W 124 28.81,48.3321,-124.4801,28,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200716,20200716_JON_8032 - 20200716_JON_8089,,,,,,,,Point
2,295,MAKAH,14-Jul-20,2020,7,RHIB,13,S,12/30/1899 10:21:00 AM,Fuca Pillar,N 48 22.57,W 124 44.01,48.3761,-124.7335,75,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_6551 - 20200714_JON_6580,,,,,,,"hard spot to work, hopfully good photos",Point
3,103,MAKAH,11-Sep-19,2019,9,RHIB,20,SBE,12/30/1899 12:07:00 PM,,N 48 17.79,W 124 41.44,48.2965,-124.6906,34,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7198 - 20190911_LIZ_7209,Jonathan Scordino,20190911,20190911_JON_0867 - 20190911_JON_0888,,,,,Point
4,327,MAKAH,27-Jul-20,2020,7,RHIB,19,SBE,12/30/1899 11:05:00 AM,Seal Rock,N 48 21.84,W 124 32.87,48.364,-124.5478,46,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0154 - 20200727_JON_0164,,,,,,,likely an earlier whale. Killer whale rake whale (Munched),Point
5,329,MAKAH,27-Jul-20,2020,7,RHIB,22,SBE,12/30/1899 11:56:00 AM,,N 48 20.30,W 124 29.70,48.3383,-124.495,24,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0374 - 20200727_JON_0475,,,,,,,,Point
6,63,MAKAH,12-Jul-19,2019,7,OPTIMISTIC,8,SBE,12/30/1899 10:39:00 AM,Green Bank,N 48 21.17,W 124 42.68,48.3528,-124.7113,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190712,20190712_LIZ_3383 - 20190712_LIZ_3479,Jonathan Scordino,20190712,20190712_JON_6975 - 20190712_JON_7025,,,,"Feeding, focal follow. Scat sample 2019-Er-02 collected by Liz. Collection location roughly the same as the initial sighting location. [Reassigned frames JON_7026-7055 from S10 to S8; was same single animal and camera times are off.]",Point
7,289,MAKAH,9-Jul-20,2020,7,RHIB,36,SBE,12/30/1899 1:57:00 PM,Duk Point,N 48 12.56,W 124 42.02,48.2093,-124.7003,18,ft,Er,<Null>,<Null>,2,1,,<Null>,<Null>,Travel,,Milling,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200709,20200709_JON_5668 - 20200709_JON_6009,,,,,,,"travel in echelon formation, milling. Appears to be calf but female is small
Er1 and Er2 are most likely same whale",Point
8,200,MAKAH,7-Nov-19,2019,11,RHIB,19,S,12/30/1899 11:36:00 AM,,N 48 18.37,W 124 41.35,48.3061,-124.6891,42,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,,,,,,1,1,1,Elizabeth Allyn,20191107,20191107_LIZ_3722 - 20191107_LIZ_3745,Jonathan Scordino,20191107,20191107_JON_5983 - 20191107_JON_6002,,,,,Point
9,341,MAKAH,5-Aug-20,2020,8,RHIB,7,SBE,12/30/1899 3:18:00 PM,Chito,N 48 19.19,W 124 26.81,48.3198,-124.4468,40,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200805,20200805_JON_1274 -20200805_JON_1313,Liliana Scordino,2020 Makah\20200805,20200805_LIZ_7078 - 20200805_LIZ_7151,,,,"travel, left only, scapula very visible",Point
10,300,MAKAH,14-Jul-20,2020,7,RHIB,44,SBE,12/30/1899 4:51:00 PM,Lingcod Alley,N 48 09.29,W 124 45.67,48.1548,-124.7611,60,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,Travel,,,1,2,<Null>,Jonathan Scordino,2020 Makah\20200714,20200714_JON_7372 - 20200714_JON_7536,,,,,,,"feed, travel/breach",Point
